z6-25818,Port1,Port1.1,Port1.2,Port2,Port2.1,Port2.2,Port3,Port3.1,Port3.2,Port4,Port4.1,Port5,Port5.1,Port7,Port7.1,Port8,Port8.1
# Records: 10192,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 21 Water Potential/Temp,TEROS 21 Water Potential/Temp,TEROS 21 Water Potential/Temp,TEROS 21 Water Potential/Temp,Battery,Battery,Barometer,Barometer
Timestamps, m3/m3 Water Content, degree_C Soil Temperature, mS/cm Saturation Extract EC, m3/m3 Water Content, degree_C Soil Temperature, mS/cm Saturation Extract EC, m3/m3 Water Content, degree_C Soil Temperature, mS/cm Saturation Extract EC, kPa Matric Potential, degree_C Soil Temperature, kPa Matric Potential, degree_C Soil Temperature,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, degree_C Logger Temperature
2024-05-22 10:30,0.43,6.3,0.379,0.222,5.4,0.072,0.216,3.3,0.137,-0.9,5.8,-693.9,4.5,81,7643,64.76,16.2
2024-05-22 10:45,0.429,6.4,0.367,0.225,5.4,0.067,0.214,3.3,0.133,-0.6,5.7,-391.1,4.4,86,7684,64.89,16.8
2024-05-22 11:00,0.429,6.6,0.366,0.228,5.3,0.068,0.212,3.4,0.136,-0.5,5.6,-247.6,4.3,91,7726,64.92,15.3
2024-05-22 11:15,0.429,6.7,0.37,0.23,5.3,0.068,0.215,3.2,0.157,-0.4,5.6,-187.2,4.3,96,7767,64.92,15.1
2024-05-22 11:30,0.429,6.7,0.369,0.23,5.4,0.068,0.216,3.2,0.156,-0.3,5.7,-153.6,4.3,100,7805,64.91,15.3
2024-05-22 11:45,0.429,6.7,0.37,0.23,5.4,0.068,0.216,3.2,0.158,-0.3,5.7,-132.4,4.3,100,7843,64.91,15.5
2024-05-22 12:00,0.429,6.7,0.37,0.23,5.4,0.068,0.216,3.2,0.16,-0.3,5.7,-116.7,4.3,100,7878,64.89,15.3
2024-05-22 12:15,0.429,6.7,0.371,0.23,5.4,0.068,0.216,3.2,0.16,-0.2,5.8,-104.1,4.4,100,7909,64.88,15.2
2024-05-22 12:30,0.429,6.6,0.372,0.23,5.4,0.068,0.217,3.2,0.161,-0.2,5.8,-93.9,4.4,100,7933,64.86,15.2
2024-05-22 12:45,0.429,6.6,0.37,0.231,5.4,0.068,0.217,3.2,0.159,-0.2,5.8,-85.8,4.4,100,7953,64.84,15
2024-05-22 13:00,0.429,6.6,0.371,0.231,5.4,0.069,0.218,3.2,0.162,-0.2,5.8,-79.2,4.4,100,7980,64.83,14.7
2024-05-22 13:15,0.429,6.6,0.372,0.231,5.4,0.069,0.218,3.2,0.161,-0.2,5.8,-73.7,4.4,100,8001,64.81,14.6
2024-05-22 13:30,0.429,6.6,0.372,0.231,5.4,0.068,0.219,3.3,0.163,-0.1,5.8,-69,4.4,100,8024,64.8,14.4
2024-05-22 13:45,0.429,6.6,0.373,0.232,5.4,0.069,0.219,3.3,0.162,-0.1,5.8,-65,4.4,100,8045,64.8,14
2024-05-22 14:00,0.429,6.6,0.374,0.232,5.4,0.07,0.219,3.4,0.164,-0.1,5.8,-61.4,4.4,100,8062,64.79,13.8
2024-05-22 14:15,0.429,6.5,0.375,0.232,5.4,0.069,0.218,3.5,0.164,-0.1,5.8,-57.3,4.4,100,8077,64.79,13.8
2024-05-22 14:30,0.429,6.5,0.376,0.233,5.4,0.068,0.218,3.6,0.162,-0.1,5.8,-53.1,4.4,100,8091,64.78,13.7
2024-05-22 14:45,0.429,6.5,0.379,0.233,5.4,0.07,0.218,3.6,0.164,-0.1,5.8,-49.4,4.4,100,8102,64.77,13.6
2024-05-22 15:00,0.429,6.5,0.381,0.233,5.4,0.068,0.218,3.7,0.164,-0.1,5.8,-46,4.4,100,8115,64.78,13.4
2024-05-22 15:15,0.429,6.5,0.383,0.234,5.4,0.07,0.217,3.8,0.165,-0.1,5.8,-42.9,4.4,100,8127,64.78,13.2
2024-05-22 15:30,0.428,6.5,0.387,0.234,5.4,0.071,0.217,3.9,0.167,-0.1,5.8,-40.2,4.4,100,8137,64.76,12.9
2024-05-22 15:45,0.428,6.5,0.39,0.235,5.4,0.072,0.217,4,0.165,-0.1,5.9,-37.7,4.5,100,8141,64.75,12.6
2024-05-22 16:00,0.428,6.5,0.396,0.235,5.4,0.073,0.217,4.1,0.166,-0.1,5.9,-35.4,4.5,100,8152,64.74,12.2
2024-05-22 16:15,0.427,6.5,0.4,0.235,5.4,0.073,0.216,4.2,0.166,-0.1,5.9,-33.3,4.5,100,8159,64.74,11.9
2024-05-22 16:30,0.427,6.5,0.408,0.236,5.4,0.073,0.216,4.4,0.166,-0.1,5.9,-31.3,4.6,100,8162,64.73,11.5
2024-05-22 16:45,0.427,6.5,0.413,0.236,5.4,0.073,0.216,4.4,0.166,-0.1,5.9,-29.6,4.6,100,8167,64.73,11.1
2024-05-22 17:00,0.426,6.5,0.421,0.237,5.4,0.073,0.216,4.5,0.167,-0.1,5.9,-28,4.6,100,8164,64.72,10.5
2024-05-22 17:15,0.426,6.5,0.43,0.237,5.4,0.074,0.216,4.6,0.167,-0.1,5.9,-26.6,4.7,100,8164,64.73,10
2024-05-22 17:30,0.425,6.5,0.441,0.237,5.4,0.073,0.215,4.7,0.165,-0.1,5.9,-25.3,4.7,100,8163,64.73,9.4
